
Status: FAILED!
Check: 1
Test: Problem 43
Reason: Expected:
+---------+-----------------------------------+-------------------+-------------+
| VEND_ID |             VEND_NAME             |    BRAND_NAME     | NUMPRODUCTS |
+---------+-----------------------------------+-------------------+-------------+
|    8    |   Baltimore Paints Consolidated   |   BINDER PRIME    |     27      |
|    8    |   Baltimore Paints Consolidated   |  FORESTERS BEST   |      1      |
|    8    |   Baltimore Paints Consolidated   |   HOME COMFORT    |     36      |
|    8    |   Baltimore Paints Consolidated   |      LE MODE      |      3      |
|    8    |   Baltimore Paints Consolidated   |     LONG HAUL     |      3      |
|    8    |   Baltimore Paints Consolidated   |    VALU-MATTE     |      1      |
|   13    |     Boykin Chemical Workshop      |      BUSTERS      |      1      |
|   13    |     Boykin Chemical Workshop      |      LE MODE      |      2      |
|   13    |     Boykin Chemical Workshop      |     LONG HAUL     |      2      |
|   13    |     Boykin Chemical Workshop      | OLDE TYME QUALITY |      2      |
|   13    |     Boykin Chemical Workshop      |   STUTTENFURST    |      1      |
|   13    |     Boykin Chemical Workshop      |    VALU-MATTE     |      1      |
|    9    | Donahue Solubles of West Virginia |   BINDER PRIME    |     27      |
|    9    | Donahue Solubles of West Virginia |      BUSTERS      |      1      |
|    9    | Donahue Solubles of West Virginia |   HOME COMFORT    |     36      |
|    9    | Donahue Solubles of West Virginia |      LE MODE      |      1      |
|    9    | Donahue Solubles of West Virginia |     LONG HAUL     |      3      |
|    9    | Donahue Solubles of West Virginia | OLDE TYME QUALITY |      1      |
|    9    | Donahue Solubles of West Virginia |   STUTTENFURST    |      2      |
|   21    | Internation Solvents of Virginia  |   BINDER PRIME    |     27      |
|   21    | Internation Solvents of Virginia  |   HOME COMFORT    |     36      |
|   21    | Internation Solvents of Virginia  |     LONG HAUL     |      3      |
|   21    | Internation Solvents of Virginia  | OLDE TYME QUALITY |      1      |
|   21    | Internation Solvents of Virginia  |   STUTTENFURST    |      1      |
|   12    |   International Decor Partners    |   BINDER PRIME    |     27      |
|   12    |   International Decor Partners    |      BUSTERS      |      2      |
|   12    |   International Decor Partners    |   HOME COMFORT    |     36      |
|   12    |   International Decor Partners    |      LE MODE      |      2      |
|   20    |   Irvington Wholesale Workshop    |      BUSTERS      |      1      |
|   20    |   Irvington Wholesale Workshop    |  FORESTERS BEST   |      1      |
|   20    |   Irvington Wholesale Workshop    |   HOME COMFORT    |      1      |
|   20    |   Irvington Wholesale Workshop    |      LE MODE      |      2      |
|   20    |   Irvington Wholesale Workshop    |     LONG HAUL     |      4      |
|   20    |   Irvington Wholesale Workshop    |    VALU-MATTE     |      1      |
|    7    |       Kenny Paints Workshop       |   BINDER PRIME    |     27      |
|    7    |       Kenny Paints Workshop       |      BUSTERS      |      1      |
|    7    |       Kenny Paints Workshop       |  FORESTERS BEST   |      2      |
|    7    |       Kenny Paints Workshop       |   HOME COMFORT    |     36      |
|    7    |       Kenny Paints Workshop       |      LE MODE      |      2      |
|    7    |       Kenny Paints Workshop       |     LONG HAUL     |      4      |
|    7    |       Kenny Paints Workshop       | OLDE TYME QUALITY |      4      |
|    7    |       Kenny Paints Workshop       |   STUTTENFURST    |      2      |
|   10    |  Lambert Decor of New Hampshire   |   BINDER PRIME    |     27      |
|   10    |  Lambert Decor of New Hampshire   |      BUSTERS      |      2      |
|   10    |  Lambert Decor of New Hampshire   |  FORESTERS BEST   |      1      |
|   10    |  Lambert Decor of New Hampshire   |   HOME COMFORT    |     36      |
